"LarvaID","YearOnly","estimatedAge","Site Name","Day of Year","hatchedDoY","Delta13C","Delta15N","CNRatio","Distance to Angle Crossing (m)","new Latitude","new Longitude","raceCladeName","cladeGoTName","mumPulldown","Fathers","inbredCoeff"
70,2011,12.13,"Bullen Range",314.00,295.77,,,,34906.28,-35.37,"148.9840","Goodoo","Lannister",,,"-0.0288"
71,2011,11.91,"Bullen Range",314.00,295.98,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings","Mirri Maz Duur","Qotho","-0.0038"
72,2011,11.73,"Bullen Range",314.00,296.16,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings","Old Nan","Hodor","0.0884"
73,2011,12.63,"Bullen Range",314.00,295.26,,,,34906.28,-35.37,"148.9840","Goodoo","Lannister","Nymeria Sand","Areo","-0.2183"
74,2011,12.09,"Bullen Range",314.00,295.80,,,,34906.28,-35.37,"148.9840","Pondi","House Arryn","Cersei Lannister","Jaime","-0.5878"
75,2011,12.63,"Bullen Range",314.00,295.26,,,,34906.28,-35.37,"148.9840","Pondi","House Arryn","Old Nan","Hodor","-0.3978"
76,2011,12.27,"Bullen Range",314.00,295.62,,,,34906.28,-35.37,"148.9840","Pondi","House Arryn","Cersei Lannister","Jaime","-0.9089"
77,2011,12.45,"Nerreman",319.00,300.80,,,,46228.76,-35.29,"148.9650","Pondi","House Arryn","Cersei Lannister","Jaime","-0.5872"
78,2011,12.81,"Nerreman",319.00,300.44,,,,46228.76,-35.29,"148.9650","Pondi","House Arryn","Cersei Lannister","Jaime","-0.4283"
79,2011,11.01,"Nerreman",319.00,302.23,,,,46228.76,-35.29,"148.9650","Goodoo","Lannister",,,"-0.0199"
80,2011,13.17,"Tharwa Sandwash",320.00,300.31,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","0.0381"
81,2011,12.99,"Tharwa Sandwash",320.00,300.49,,,,8343.72,-35.52,"149.0762","Goodoo","Tyrell","Arya Stark","Jagen","0.0092"
82,2011,13.71,"Tharwa Sandwash",320.00,299.77,,,,8343.72,-35.52,"149.0762","Goodoo","Tyrell","Margaery Tyrell","Tommen","-0.2858"
83,2011,12.81,"Tharwa Sandwash",320.00,300.67,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.1294"
84,2011,12.99,"Tharwa Sandwash",320.00,300.49,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.0228"
85,2011,12.81,"Tharwa Sandwash",320.00,300.67,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.0519"
86,2011,13.35,"Tharwa Sandwash",320.00,300.13,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.1406"
87,2011,12.99,"Tharwa Sandwash",320.00,300.49,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.0801"
88,2011,13.26,"Tharwa Sandwash",320.00,300.22,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","0.0215"
89,2011,13.17,"Tharwa Sandwash",320.00,300.31,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.076"
90,2011,12.99,"Tharwa Sandwash",320.00,300.49,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.0269"
91,2011,13.89,"Tharwa Sandwash",320.00,299.59,,,,8343.72,-35.52,"149.0762","Goodoo","Tyrell",,,"0.0661"
92,2011,12.45,"Tharwa Sandwash",320.00,301.03,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Sansa Stark","Tyrion","-0.006"
93,2011,13.35,"Tharwa Sandwash",320.00,300.13,,,,8343.72,-35.52,"149.0762","Goodoo","Tyrell","Arya Stark","Jagen","0.0522"
94,2011,12.81,"Tharwa Sandwash",320.00,300.67,,,,8343.72,-35.52,"149.0762","Goodoo","Tyrell","Arya Stark","Jagen","0.0227"
95,2011,14.07,"Lanyon",321.00,300.67,,,,13980.31,-35.47,"149.0639","Goodoo","Lannister","Cersei Lannister","Jaime","-0.4935"
96,2011,14.70,"Lanyon",321.00,300.04,,,,13980.31,-35.47,"149.0639","Goodoo","Lannister","Myrcella Baratheon","Trystane","-0.0879"
97,2011,15.51,"Lanyon",321.00,299.23,,,,13980.31,-35.47,"149.0639","Goodoo","Lannister","Myrcella Baratheon","Trystane","-0.0209"
98,2011,16.77,"Lanyon",321.00,297.97,,,,13980.31,-35.47,"149.0639","Goodoo","Wildlings",,,"-0.1304"
99,2011,16.05,"Lanyon",321.00,298.69,,,,13980.31,-35.47,"149.0639","Goodoo","Lannister",,,"-0.0567"
100,2011,9.39,"Murramore",326.00,309.12,,,,20813.63,-35.43,"149.0715","Pondi","House Arryn","Cersei Lannister","Jaime","-0.9166"
101,2011,8.67,"Murramore",326.00,309.84,,,,20813.63,-35.43,"149.0715","Pondi","House Arryn",,,"-0.369"
103,2011,21.08,"Murramore",326.00,297.43,,,,20813.63,-35.43,"149.0715","Goodoo","Wildlings",,,"-0.1513"
104,2011,9.75,"Murramore",326.00,308.76,,,,20813.63,-35.43,"149.0715","Goodoo","Wildlings","Cersei Lannister","Jaime","-0.4789"
105,2011,11.73,"Murramore",340.00,318.94,,,,20813.63,-35.43,"149.0715","Goodoo","Wildlings","Gilly","Samwell","-0.2131"
107,2011,8.85,"Murramore",326.00,309.66,,,,20813.63,-35.43,"149.0715","Goodoo","Wildlings","Cersei Lannister","Jaime","-0.438"
108,2011,13.35,"Kambah Pool",327.00,306.34,,,,28825.03,-35.40,"149.0147","Pondi","House Arryn","Cersei Lannister","Jaime","-0.5986"
109,2011,13.46,"Kambah Pool",327.00,306.23,,,,28825.03,-35.40,"149.0147","Pondi","House Arryn","Cersei Lannister","Jaime","-0.6909"
110,2011,13.64,"Kambah Pool",327.00,306.05,,,,28825.03,-35.40,"149.0147","Goodoo","Wildlings",,,"-0.1045"
111,2011,10.64,"Kambah Pool",327.00,309.06,,,,28825.03,-35.40,"149.0147","Goodoo","Nights Watch",,,"-0.0515"
112,2011,10.11,"Bullen Range",328.00,310.00,,,,34906.28,-35.37,"148.9840","Pondi","House Arryn","Cersei Lannister","Jaime","-0.7282"
113,2011,11.55,"Bullen Range",328.00,308.56,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.0823"
114,2011,14.38,"Bullen Range",328.00,305.74,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.1104"
115,2011,12.27,"Bullen Range",328.00,307.84,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.3758"
116,2011,11.01,"Bullen Range",328.00,309.10,,,,34906.28,-35.37,"148.9840","Goodoo","Tyrell",,,"0.0295"
117,2011,13.35,"Bullen Range",328.00,306.76,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.1074"
118,2011,9.57,"Bullen Range",328.00,310.54,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.1964"
119,2011,11.55,"Bullen Range",328.00,308.56,,,,34906.28,-35.37,"148.9840","Goodoo","Tyrell",,,"-0.3171"
120,2011,10.83,"Bullen Range",328.00,309.28,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.065"
121,2011,10.65,"Bullen Range",328.00,309.46,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.2313"
122,2011,11.55,"Bullen Range",328.00,308.56,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.1412"
123,2011,11.91,"Bullen Range",328.00,308.20,,,,34906.28,-35.37,"148.9840","Pondi","House Arryn","Cersei Lannister","Jaime","-0.5348"
124,2011,14.07,"Bullen Range",328.00,306.04,,,,34906.28,-35.37,"148.9840","Pondi","House Arryn","Cersei Lannister","Jaime","-0.721"
125,2011,11.37,"Bullen Range",328.00,308.74,,,,34906.28,-35.37,"148.9840","Goodoo","Wildlings",,,"-0.5104"
126,2011,11.19,"Bullen Range",328.00,308.92,,,,34906.28,-35.37,"148.9840","Goodoo","Tyrell",,,"-0.3054"
127,2011,11.01,"Tharwa Sandwash",333.00,315.31,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings",,,"-0.1182"
128,2011,11.73,"Tharwa Sandwash",333.00,314.59,,,,8343.72,-35.52,"149.0762","Goodoo","Wildlings","Walda Bolton","Ramsay","-0.1861"
129,2011,15.87,"Tharwa Sandwash",333.00,310.45,,,,8343.72,-35.52,"149.0762","Goodoo","Greyjoys","Meera Reed",,"-0.2148"
